class,gyroX,gyroY,gyroZ,accX,accY,accZ
1,10.1526718,5.5648855,1.2137405,0.4199219,-0.119873,-1.0422363
1,-0.9694656,9.5572519,-0.6717557,0.1689453,-0.1552734,-1.1147461
1,-0.7099237,5.0458015,0.6183206,0.1794434,-0.088623,-1.0187988
1,-0.2137405,4.221374,0.8854962,0.2612305,-0.1323242,-1.0349121
1,1.0916031,5.5496183,0.4122137,0.5493164,-0.2758789,-0.8820801
1,-3.5419847,4.9236641,-1.2137405,0.6083984,-0.192627,-0.916748
1,-1.6335878,7.1908397,-1.870229,0.3286133,-0.0500488,-0.9138184
1,0.5343511,4.6641221,-2.1221374,0.3786621,-0.0639648,-0.9343262
1,0.610687,3.0381679,1.5114504,0.5495605,-0.1733398,-1.0871582
1,2.0610687,-2.8015267,-0.2137405,0.1337891,-0.0788574,-1.2158203
1,-1.8778626,0.2824427,-1.3816794,0.1940918,-0.1784668,-1.083252
1,-0.4656489,4.2366412,0.9465649,0.15625,-0.0771484,-1.005127
1,-0.6717557,4.4427481,0.8320611,0.1711426,-0.0639648,-1.0114746
1,-0.8015267,4.5648855,0.9465649,0.2045898,-0.0651855,-1.0495605
1,0.9465649,6.389313,0.8778626,0.4455566,-0.230957,-0.984375
1,-3.6870229,3.3664122,-1.870229,0.4619141,-0.1791992,-0.9245605
1,-0.259542,2.0534351,0.480916,0.4541016,-0.1625977,-0.880127
1,3.4580153,-0.2290076,0.9847328,0.4001465,-0.2729492,-1.0112305
1,-4.648855,7.4351145,3.7022901,0.5551758,-0.3251953,-1.104248
1,-5.4427481,4.7251908,0.5267176,0.3037109,-0.1120605,-1.2805176
1,-0.6183206,4.3358779,1.2671756,0.1914062,-0.0864258,-1.0063477
1,-0.6412214,4.5572519,0.7633588,0.201416,-0.0839844,-1.0126953
1,-0.3587786,8.4427481,0.7633588,0.2824707,-0.0612793,-0.9797363
1,-2.8854962,2.2977099,-1.0458015,0.4831543,-0.2019043,-0.8583984
1,-3.0992366,7.9083969,-0.9007634,0.4125977,-0.1452637,-0.826416
1,2.740458,-0.1832061,-2.1908397,0.3891602,-0.0332031,-1.2382812
1,2.2748092,11.4961832,-0.7709924,0.4936523,-0.1955566,-1.2307129
1,-5.4885496,1.0534351,0.8549618,0.3815918,-0.2509766,-0.8740234
1,-1.9618321,7.0534351,0.7480916,0.1274414,-0.1801758,-1.0319824
1,-0.3587786,4.7099237,0.6946565,0.1796875,-0.0820312,-1.0266113
1,-0.5419847,4.3969466,1.0381679,0.1450195,-0.0915527,-1.0009766
1,-3.5877863,9.0458015,0.0458015,0.407959,-0.1955566,-1.0090332
1,1.7480916,4.5267176,0.3053435,0.5070801,-0.2685547,-0.9926758
1,0.5419847,1.9465649,2.5877863,0.4558105,-0.0952148,-0.8752441
1,-1.3816794,7.5954198,5.2137405,0.5419922,-0.1235352,-1.0546875
1,-7.3740458,11.5725191,1.4885496,0.3432617,-0.1662598,-1.0092773
1,-1.6793893,5.9465649,5.7862595,0.1220703,-0.0336914,-1.1665039
1,-4.0305344,9.3969466,4.2061069,0.1037598,-0.0505371,-1.184082
1,-0.7709924,5.1068702,-0.351145,0.168457,-0.0732422,-0.9924316
1,-0.3282443,4.7862595,0.7938931,0.1491699,-0.078125,-1.0180664
1,1.6793893,5.5343511,1.7633588,0.550293,-0.1936035,-0.8891602
1,-2.6183206,6.4045802,0.5114504,0.5900879,-0.2265625,-0.8605957
1,0.0610687,3.259542,0.4351145,0.5046387,-0.1899414,-0.9265137
1,0.1984733,3.740458,1.7175573,0.4245605,-0.2341309,-1.0222168
1,3.9007634,6.0534351,1.0992366,0.3557129,-0.2006836,-0.9748535
1,-2.3358779,-3.5496183,2.5801527,0.2124023,-0.151123,-0.8103027
1,-1.3206107,6.8549618,2.9770992,0.0356445,0.0153809,-1.1743164
1,-0.6717557,4.4427481,1.1526718,0.1699219,-0.0708008,-1.0100098
1,-0.7938931,4.2748092,0.870229,0.1618652,-0.0788574,-0.9943848
1,1.8244275,1.5038168,0.1068702,0.3757324,-0.1945801,-1.0761719
1,-2.6030534,4.0763359,1.5267176,0.6057129,-0.1872559,-0.9904785
1,2.9618321,7.5801527,0.1832061,0.4882812,-0.1013184,-0.9533691
1,-3.259542,5.6870229,3.6412214,0.282959,-0.1262207,-1.0456543
1,-8.1679389,2.4122137,-0.1679389,0.2526855,-0.3234863,-0.855957
1,-3.7251908,1.6335878,5.0458015,0.1081543,0.0544434,-1.0507812
1,1.8931298,5.8244275,7.3358779,0.0458984,-0.0710449,-1.2939453
1,-0.6717557,4.3740458,0.7328244,0.201416,-0.0852051,-1.0041504
1,-0.4427481,3.8015267,0.7709924,0.1838379,-0.098877,-0.9309082
1,-5.7557252,3.8778626,0.8625954,0.4689941,-0.1677246,-0.9897461
1,0.5419847,3.5496183,0.9007634,0.5471191,-0.2089844,-0.9265137
1,0.7175573,2.4045802,-0.2824427,0.2746582,-0.0866699,-1.0776367
1,-1.870229,7.2900763,1.7099237,0.4570312,-0.2102051,-1.0788574
1,3.6183206,7.1221374,0.4503817,0.2060547,-0.0229492,-0.9282227
1,-5.8549618,-2.0610687,3.0687023,0.1606445,0.0046387,-1.0703125
1,-4.9618321,2.7709924,2.4885496,0.0859375,-0.088623,-1.135498
1,-0.2977099,4.519084,1.1603053,0.1560059,-0.1015625,-1.0080566
1,-0.7557252,4.5877863,1.1832061,0.1774902,-0.0698242,-1.0063477
1,4.7328244,5.8396947,1.6183206,0.4541016,-0.2312012,-0.9699707
1,-0.4732824,5.1145038,1.7099237,0.5107422,-0.2092285,-0.8696289
1,-0.0152672,1.6259542,0.6793893,0.3496094,-0.1516113,-0.8886719
1,6.7328244,5.7862595,2.3969466,0.4453125,-0.1706543,-0.9030762
1,-11.6641221,7.7328244,1.9465649,0.390625,0.0576172,-0.6306152
1,7.2900763,13.2824427,0.9007634,0.1845703,-0.0991211,-0.9116211
1,-3.1679389,0.0687023,1.9618321,0.0861816,0.0568848,-1.0366211
1,-0.1603053,4.2671756,0.8473282,0.2001953,-0.109375,-1.0090332
1,-0.259542,4.6564885,0.7175573,0.1567383,-0.0866699,-1.005127
1,-2.5877863,6.5419847,0.5801527,0.4091797,-0.1079102,-0.9929199
1,-0.4580153,6.0,1.3129771,0.5366211,-0.1779785,-1.0129395
1,-0.1755725,13.5648855,0.0458015,0.5571289,-0.2626953,-0.9960938
1,0.8396947,6.6641221,-0.5954198,0.3535156,-0.0864258,-1.0031738
1,1.2137405,-0.0381679,0.0305344,0.2053223,-0.1120605,-0.9287109
1,-6.7099237,10.1908397,2.7251908,0.2219238,-0.0324707,-0.8796387
1,5.1374046,2.8625954,4.6259542,-0.017334,0.1635742,-0.8615723
1,-0.3435115,4.5419847,0.6946565,0.1611328,-0.1071777,-1.0275879
1,-2.259542,0.7251908,0.9389313,0.2419434,-0.1289062,-1.0388184
1,-1.3740458,4.7328244,0.7480916,0.2470703,-0.0991211,-0.9980469
1,-0.7938931,1.5038168,0.1679389,0.4753418,-0.2106934,-0.9348145
1,-1.1755725,6.1603053,0.7251908,0.5224609,-0.2182617,-0.9504395
1,5.351145,2.5267176,1.8167939,0.5253906,-0.2302246,-1.0717773
1,-2.4961832,11.0916031,3.351145,0.4980469,-0.2355957,-1.3598633
1,1.648855,4.5496183,4.4198473,0.088623,0.0495605,-0.8818359
1,0.6946565,5.6335878,7.5496183,0.0883789,0.0771484,-1.2368164
1,-0.8549618,4.7328244,0.8549618,0.1779785,-0.0917969,-1.0495605
1,-4.0992366,7.4351145,0.5419847,0.4099121,-0.1696777,-1.0639648
1,-1.6030534,2.0916031,3.9007634,0.4372559,-0.1052246,-0.9924316
1,-1.7480916,4.0534351,2.6946565,0.5043945,-0.0915527,-0.8374023
1,-1.740458,1.2977099,2.6564885,0.427002,-0.1713867,-0.9309082
1,-3.8778626,3.4427481,1.5496183,0.2607422,-0.1259766,-1.0065918
1,-0.9236641,2.1068702,1.0229008,0.1611328,-0.1669922,-1.0588379
1,-4.0610687,1.1908397,-1.4045802,0.1201172,-0.1247559,-1.1069336
1,0.0,2.7480916,0.2442748,0.0612793,-0.1223145,-1.1464844
1,-0.351145,4.6793893,0.740458,0.1608887,-0.0930176,-1.0078125
1,-0.1908397,6.1145038,0.7480916,0.157959,-0.1025391,-1.0087891
1,-5.5572519,1.221374,0.5496183,0.4106445,-0.0898438,-0.958252
1,1.0152672,2.6717557,1.4885496,0.4951172,-0.1621094,-1.0083008
1,-2.3358779,-1.2671756,1.1755725,0.4331055,-0.1887207,-0.8598633
1,1.1374046,7.4503817,3.7175573,0.4187012,-0.0722656,-1.2783203
1,2.8320611,7.2137405,0.5419847,0.1320801,0.0043945,-0.8312988
1,-3.221374,5.7557252,-0.9694656,0.1601562,-0.1547852,-1.0605469
1,0.7175573,3.0916031,-6.1603053,0.0114746,-0.1015625,-1.0893555
1,0.0763359,4.0229008,0.7175573,0.1870117,-0.095459,-0.9926758
1,-0.7938931,5.1679389,0.740458,0.1970215,-0.0957031,-0.9956055
1,1.5419847,2.6641221,0.9770992,0.5036621,-0.184082,-0.972168
1,-2.4045802,7.1832061,1.3358779,0.4606934,-0.1894531,-1.0773926
1,0.9770992,9.0305344,0.221374,0.3789062,-0.2331543,-1.0148926
1,1.5419847,3.5419847,-0.1526718,0.2424316,-0.1113281,-1.0166016
1,2.8167939,3.9770992,0.6946565,0.0888672,-0.0952148,-0.9228516
1,-0.6183206,4.9847328,-3.2366412,0.1955566,-0.2128906,-1.171875
1,-1.7557252,4.9160305,-2.3053435,0.081543,-0.1274414,-0.9931641
1,-0.3129771,4.259542,0.740458,0.1655273,-0.0756836,-1.0029297
1,-0.2519084,5.1221374,1.129771,0.2780762,-0.0844727,-0.9978027
1,-1.6793893,6.2748092,-0.9389313,0.4631348,-0.1315918,-0.9741211
1,0.4732824,2.8167939,-2.7022901,0.4206543,-0.1315918,-0.8103027
1,0.2442748,2.9618321,1.0,0.4516602,-0.2150879,-1.1542969
1,6.5877863,5.9389313,2.351145,0.277832,-0.1955566,-1.1450195
1,-2.2519084,-3.3435115,-0.0076336,0.232666,-0.255127,-1.1108398
1,4.1984733,13.3969466,-2.3358779,0.145752,0.0026855,-0.9013672
1,1.1068702,2.0381679,-8.351145,-0.0788574,-0.2133789,-1.1218262
1,-0.6793893,3.9694656,0.8549618,0.1899414,-0.0715332,-0.9899902
1,-0.8854962,3.9770992,0.9770992,0.1791992,-0.0637207,-0.9611816
1,-0.6183206,5.4274809,1.389313,0.3146973,-0.1020508,-0.925293
1,-1.4045802,5.221374,-1.0458015,0.4470215,-0.1447754,-0.9672852
1,-5.0534351,3.5343511,-2.1450382,0.4750977,-0.1467285,-1.0390625
1,1.7480916,2.648855,-2.0,0.548584,-0.3427734,-1.0566406
1,-2.4503817,8.4427481,-0.5572519,0.3322754,-0.1208496,-1.015625
1,-5.0534351,1.0687023,3.7633588,0.3049316,-0.104248,-0.838623
1,-0.2900763,-2.1526718,1.7480916,0.4404297,-0.0734863,-1.0812988
1,7.3435115,2.2442748,1.8854962,0.482666,-0.1645508,-1.0339355
1,-4.259542,2.0534351,2.0458015,0.4782715,-0.1286621,-1.036377
1,-7.5419847,2.2671756,2.9694656,0.4914551,-0.3059082,-0.7290039
1,-2.5725191,2.1984733,-1.0305344,0.5166016,-0.1821289,-0.7685547
1,-11.480916,-1.1450382,0.2824427,0.4943848,-0.1586914,-0.4567871
1,-1.9312977,1.740458,0.0381679,0.2543945,-0.1262207,-1.0024414
1,3.9465649,-0.4351145,1.7480916,0.1916504,-0.2194824,-0.8840332
1,2.9770992,0.7938931,0.8015267,0.1003418,-0.032959,-0.9470215
1,2.5954198,7.3358779,1.4351145,0.0310059,0.0178223,-1.0336914
1,-0.389313,5.8549618,-0.3969466,0.1657715,-0.0395508,-1.0090332
1,-1.0610687,4.4732824,0.4580153,0.1958008,-0.0217285,-0.9848633
1,-0.2977099,4.648855,0.7938931,0.1843262,-0.0625,-1.0219727
1,-0.8091603,4.1374046,0.8473282,0.1813965,-0.0683594,-1.0095215
1,-0.7709924,4.3129771,0.7862595,0.1828613,-0.0488281,-1.0148926
1,-0.8396947,4.2824427,0.610687,0.1860352,-0.0617676,-0.9848633
1,-0.8167939,4.2061069,1.0,0.1906738,-0.0720215,-0.9736328
1,-0.9465649,4.1145038,0.870229,0.1975098,-0.0678711,-0.9863281
1,-0.6717557,4.2366412,0.9847328,0.1931152,-0.0634766,-1.0095215
1,-5.0,12.221374,-0.9312977,0.5036621,-0.0620117,-0.9655762
1,5.0610687,-0.4427481,0.9847328,0.3293457,-0.0588379,-0.8793945
1,-9.8396947,4.7557252,3.7175573,0.3049316,-0.0161133,-0.8044434
1,-2.221374,3.221374,-1.8091603,-0.013916,0.1252441,-1.1364746
1,2.7862595,-1.2900763,-4.9236641,0.1484375,-0.1369629,-1.0847168
1,-1.5267176,0.9694656,-4.8396947,0.0349121,-0.1057129,-1.1977539
1,0.8473282,-1.6946565,-1.2290076,-0.0324707,-0.0119629,-0.7446289
1,4.1145038,7.3053435,4.5419847,0.0844727,0.1169434,-0.8725586
1,-2.3587786,5.2748092,13.6717557,0.2197266,0.1884766,-0.9794922
1,2.9083969,4.1603053,2.7175573,0.0529785,-0.0305176,-0.9868164
1,-5.1908397,7.7328244,2.8931298,0.1938477,-0.1491699,-0.7927246
1,-1.9312977,5.8473282,3.8091603,0.2062988,0.0246582,-0.9406738
1,-14.648855,-0.1221374,4.9465649,0.0493164,-0.0144043,-0.7949219
1,0.3740458,1.1755725,0.5038168,0.1340332,-0.0969238,-1.1188965
1,1.2366412,1.3358779,0.1755725,0.057373,-0.1027832,-1.2858887
1,1.8015267,2.5038168,0.3129771,-0.0695801,-0.0786133,-1.0292969
1,-1.0,9.7175573,2.259542,-0.2019043,0.1364746,-0.8613281
1,2.0839695,-1.6412214,0.0076336,-0.0402832,-0.0678711,-0.8547363
1,-0.6946565,4.6793893,1.3969466,0.2111816,-0.0649414,-0.9904785
1,-1.0687023,8.648855,1.8473282,0.4416504,-0.1428223,-0.9313965
1,-0.6870229,6.1374046,1.0152672,0.5339355,-0.1467285,-0.9191895
1,-0.7251908,6.1068702,1.7709924,0.5466309,-0.1276855,-1.1311035
1,-0.3740458,2.6641221,0.9160305,0.4587402,-0.1384277,-0.8862305
1,-3.389313,2.0305344,1.5572519,0.3657227,-0.1254883,-0.8811035
1,1.3129771,0.3816794,0.4732824,0.3066406,-0.0214844,-0.9121094
1,2.4732824,3.7022901,1.3282443,0.4489746,-0.1291504,-0.8310547
1,-2.2061069,6.7251908,0.8473282,0.6040039,-0.159668,-0.9509277
1,-0.1145038,4.2519084,0.4580153,0.2392578,-0.1022949,-0.9729004
1,-1.3053435,6.610687,1.0610687,0.3613281,-0.1125488,-0.9038086
1,-1.6335878,3.0305344,0.1908397,0.4799805,-0.2072754,-0.8266602
1,2.4427481,3.1832061,-0.0152672,0.5568848,-0.2131348,-0.8720703
1,-0.0992366,5.2442748,-0.3435115,0.638916,-0.1359863,-0.9001465
1,-1.1984733,3.3358779,0.0992366,0.2536621,-0.0388184,-1.1855469
1,-6.0381679,6.1068702,-0.2900763,0.4052734,-0.2443848,-0.9978027
1,-3.3740458,3.129771,1.4427481,0.4699707,-0.0671387,-0.9108887
1,-0.351145,5.0763359,-1.2824427,0.1501465,-0.0493164,-0.7890625
1,-3.2290076,-0.4656489,3.8854962,0.385498,-0.0690918,-0.6750488
1,3.9465649,11.1908397,2.1679389,0.6159668,-0.0837402,-1.1401367
1,1.5038168,0.2900763,1.8320611,0.2763672,-0.1608887,-0.979248
1,8.2671756,7.5877863,0.4732824,0.4694824,-0.2663574,-0.9641113
1,-6.6412214,7.0229008,1.1374046,0.3232422,-0.0559082,-0.7927246
1,-5.9618321,0.1908397,1.9389313,0.0327148,-0.0534668,-1.0939941
1,-8.221374,7.0992366,0.4503817,0.2177734,-0.1618652,-1.0144043
1,2.9465649,5.4427481,0.9541985,-0.0202637,-0.0634766,-1.1340332
1,3.870229,1.2290076,1.0381679,0.0175781,-0.0246582,-1.2185059
1,-1.9083969,4.1450382,0.870229,0.1506348,-0.0795898,-0.9953613
1,0.3587786,6.9923664,1.1450382,0.3432617,-0.1101074,-0.9836426
1,0.3206107,5.610687,0.4503817,0.4855957,-0.1713867,-1.0187988
1,-2.0992366,3.0229008,3.2442748,0.5961914,-0.1677246,-0.8015137
1,0.2137405,4.5114504,2.8931298,0.4943848,-0.1074219,-0.9099121
1,-5.4503817,5.0610687,1.0839695,0.4658203,-0.1962891,-1.0769043
1,0.259542,8.9312977,2.4274809,0.6293945,-0.3132324,-1.1535645
1,2.1374046,0.2671756,0.2442748,0.3764648,-0.1228027,-0.7609863
1,1.7938931,0.1984733,0.9541985,0.5546875,-0.2272949,-0.8876953
2,-1.3282443,4.3816794,1.1221374,0.1623535,-0.0671387,-0.9729004
2,-0.4961832,2.7251908,5.4580153,0.3164062,-0.1328125,-0.9313965
2,-1.3282443,1.7328244,4.0992366,0.171875,-0.0732422,-0.9423828
2,-1.0763359,4.9923664,3.740458,0.3378906,-0.1569824,-1.0908203
2,7.0458015,4.0305344,1.0381679,0.2565918,-0.1694336,-0.9262695
2,-3.7328244,7.5572519,0.9389313,0.1352539,-0.0534668,-0.8786621
2,0.1603053,7.7709924,-3.8396947,0.2124023,-0.1821289,-1.0900879
2,7.2290076,-1.4427481,-33.2366412,0.03125,-0.6611328,-1.2194824
2,-3.6183206,-1.1450382,-39.4274809,-0.1518555,-0.4423828,-0.9533691
2,-2.6183206,1.6259542,-18.3435115,0.1030273,-0.1538086,-0.9460449
2,1.9083969,2.3129771,-1.4122137,0.1401367,0.0078125,-0.90625
2,-1.0610687,3.1526718,2.4732824,0.0649414,-0.0002441,-0.9431152
2,-0.9847328,4.8091603,1.0229008,0.203125,-0.0700684,-1.0039062
2,-4.1908397,4.3129771,4.870229,0.3195801,-0.107666,-0.927002
2,-3.9312977,2.8244275,5.7557252,0.385498,-0.1657715,-0.987793
2,-2.2671756,5.8244275,2.129771,0.291748,-0.0576172,-1.1384277
2,4.4198473,4.129771,1.2366412,0.2873535,-0.1235352,-0.9902344
2,2.9312977,8.2442748,2.480916,0.1535645,0.0063477,-0.9851074
2,2.7022901,4.7328244,-0.4732824,0.2714844,-0.1303711,-0.8569336
2,3.0839695,-1.1068702,-25.7862595,-0.0866699,-0.5205078,-1.0212402
2,-1.129771,-0.6870229,-41.3435115,-0.109375,-0.5646973,-0.8168945
2,3.8549618,0.2442748,-30.2061069,0.152832,-0.4714355,-0.8393555
2,-0.351145,3.5343511,-2.4198473,0.1691895,-0.154541,-0.9099121
2,2.9923664,5.7633588,1.3587786,0.1914062,-0.0554199,-1.0405273
2,-0.1832061,4.870229,0.778626,0.2556152,-0.1025391,-0.9672852
2,-0.7862595,5.1908397,1.1679389,0.2531738,-0.0783691,-0.9689941
2,-0.1984733,4.0610687,2.5572519,0.3945312,-0.119873,-1.001709
2,-1.8854962,6.0076336,5.0305344,0.2504883,-0.1166992,-1.0397949
2,-4.9465649,4.8320611,3.0305344,0.3967285,-0.1364746,-1.0366211
2,-1.2748092,10.2442748,3.4580153,0.291748,-0.1335449,-0.9372559
2,5.0076336,4.8549618,1.7022901,0.2666016,-0.2126465,-0.8562012
2,5.5725191,1.9465649,-4.480916,0.2160645,-0.1708984,-0.9787598
2,1.0687023,-1.5572519,-36.0839695,-0.1784668,-0.5793457,-0.838623
2,1.0305344,0.2137405,-36.0458015,-0.0366211,-0.434082,-1.0322266
2,1.1145038,2.1908397,-23.2900763,-0.0043945,-0.1643066,-0.9572754
2,-1.8167939,7.3969466,2.3206107,0.2214355,-0.0180664,-1.0891113
2,-0.9465649,4.5572519,0.8015267,0.1833496,-0.0615234,-1.0146484
2,-0.4961832,3.9083969,0.870229,0.171875,-0.0698242,-0.9377441
2,0.0839695,6.7938931,1.0,0.3085938,-0.1135254,-0.9919434
2,0.6030534,3.3969466,5.0763359,0.4484863,-0.1306152,-0.9790039
2,-0.2519084,3.2061069,2.0458015,0.4238281,-0.1972656,-0.9604492
2,-7.1221374,5.0458015,5.6030534,0.2932129,-0.0200195,-0.9367676
2,-2.6564885,6.7633588,1.0916031,0.090332,0.0908203,-0.9470215
2,-1.2519084,-1.4274809,1.4122137,0.2736816,-0.0769043,-1.2441406
2,5.389313,-5.9083969,-27.4122137,-0.0473633,-0.4924316,-0.9729004
2,12.778626,-3.6793893,-43.1145038,-0.1472168,-0.5390625,-0.9355469
2,1.4122137,3.259542,-11.8015267,0.1437988,-0.2458496,-0.8833008
2,-5.8244275,8.1603053,1.4656489,0.1394043,-0.2258301,-0.9543457
2,-0.7633588,4.0381679,0.9007634,0.1826172,-0.0737305,-0.9956055
2,-0.5801527,5.5038168,2.480916,0.3369141,-0.1000977,-0.9655762
2,0.6183206,2.9083969,5.5725191,0.3522949,-0.1181641,-0.8674316
2,-1.0534351,4.0992366,3.1755725,0.3166504,-0.2004395,-0.871582
2,-1.7099237,0.4274809,0.1068702,0.2946777,-0.3137207,-1.026123
2,0.7022901,9.8091603,2.0610687,0.3330078,-0.1274414,-0.998291
2,-7.5419847,4.7938931,1.4503817,0.2375488,-0.0874023,-1.0649414
2,6.7251908,-0.7633588,-30.1603053,-0.0771484,-0.5632324,-0.8347168
2,-1.1526718,4.351145,-40.6030534,-0.079834,-0.6384277,-0.9138184
2,-1.9389313,2.8015267,-23.9694656,0.1057129,-0.2368164,-1.1123047
2,0.2366412,5.0839695,0.3053435,0.2084961,-0.0524902,-1.0744629
2,4.1450382,0.7633588,2.4885496,0.1171875,-0.0737305,-1.0327148
2,-0.8320611,3.9694656,0.6183206,0.1889648,-0.0585938,-0.9899902
2,-0.8931298,4.0839695,3.1832061,0.3530273,-0.0979004,-0.9172363
2,-0.519084,3.1068702,3.5419847,0.2927246,-0.064209,-0.9047852
2,-3.0839695,1.1984733,4.1603053,0.2524414,-0.1247559,-1.0800781
2,-10.7328244,8.9923664,1.4732824,0.3503418,-0.0898438,-1.0024414
2,0.6564885,6.8549618,2.2061069,0.2988281,-0.1345215,-1.1582031
2,2.519084,4.8854962,-2.0229008,0.1557617,-0.1723633,-0.921875
2,-2.6564885,5.9618321,-37.7175573,-0.1367188,-0.5649414,-1.0541992
2,7.480916,-1.8854962,-39.129771,-0.059082,-0.4165039,-0.9147949
2,1.9083969,7.610687,-8.7557252,0.3322754,-0.1804199,-0.8908691
2,1.7938931,2.1603053,0.5572519,0.0900879,-0.0610352,-0.9155273
2,-0.3664122,4.3969466,-8.9389313,-0.0854492,-0.1149902,-1.0043945
2,-0.3053435,4.1450382,0.7328244,0.1928711,-0.0639648,-0.9936523
2,-1.3664122,5.5343511,2.5343511,0.3669434,-0.0795898,-0.9453125
2,-0.8244275,1.9541985,1.7862595,0.392334,-0.1604004,-0.7792969
2,-3.648855,7.1526718,4.389313,0.3666992,-0.1367188,-1.052002
2,0.3587786,10.3587786,4.1068702,0.2463379,-0.0917969,-1.1022949
2,-3.2671756,9.5572519,0.9847328,0.3112793,-0.1376953,-0.9562988
2,5.6259542,-0.0534351,-24.8854962,-0.005127,-0.5493164,-0.7744141
2,8.1221374,-0.610687,-37.7557252,-0.201416,-0.6691895,-0.970459
2,3.1221374,7.8320611,-32.4045802,-0.0795898,-0.5058594,-0.9777832
2,-3.3740458,0.7328244,-2.0152672,0.1967773,-0.1616211,-1.0314941
2,-3.4045802,7.480916,2.8396947,-0.0522461,-0.0734863,-0.8562012
2,7.5419847,-1.8244275,-24.1679389,0.0026855,-0.420166,-1.1611328
2,-0.4351145,3.9083969,0.9465649,0.2253418,-0.0654297,-0.9172363
2,-1.2977099,4.0152672,0.4198473,0.362793,-0.1376953,-0.9118652
2,0.3816794,3.9694656,3.778626,0.4016113,-0.083252,-0.8530273
2,3.5954198,1.0381679,1.740458,0.1064453,-0.1428223,-1.0068359
2,-5.1832061,-1.4656489,5.8244275,0.2731934,-0.1169434,-0.8508301
2,4.5114504,6.8320611,-22.6412214,0.052002,-0.5092773,-1.2919922
2,10.648855,-7.1603053,-44.8931298,-0.1887207,-0.6633301,-1.0859375
2,4.4427481,3.6183206,-9.7480916,0.3295898,-0.2351074,-1.0783691
2,2.3358779,10.4274809,-0.7251908,0.0373535,-0.2043457,-0.9243164
